Job Position,Job Description,Date Created,Pooling Status,Job ID,Last Modified
Software Engineer,"Qualification:
Bachelor degree in technical majors is preferred (e.g. Computer Science, Information Technology or other related majors.)
Experienced in web development frameworks such as CodeIgniter and Laravel (with additional advantages in Next.js, Vue, and Django).
Passion in software engineering and big data systems
Proficient in PHP, JavaScript, and Python (as an additional skill).
Strong understanding of modular concepts.
Familiarity with Cloud Computing, such as AWS/GCP
Skilled in utilizing Docker as a development environment.
Proficient in using version control systems (Git).
Capable of leveraging AI tools to support tasks and develop automation.
Able to work effectively in a team and communicate clearly.

Job Description:
Bachelor degree in technical majors is preferred (e.g. Computer Science, Information Technology or other related majors.)
Experienced in web development frameworks such as CodeIgniter and Laravel (with additional advantages in Next.js, Vue, and Django).
Passion in software engineering and big data systems
Proficient in PHP, JavaScript, and Python (as an additional skill).
Strong understanding of modular concepts.
Familiarity with Cloud Computing, such as AWS/GCP
Skilled in utilizing Docker as a development environment.
Proficient in using version control systems (Git).
Capable of leveraging AI tools to support tasks and develop automation.
Able to work effectively in a team and communicate clearly.",2026-01-08 13:12:10,Pooled,262597.0,
Accounting Staff,"Job Description
Prepare and record accounting journal entries accurately and in a timely manner.
Understand, compile, and analyze financial statements, including balance sheets, income statements, and cash flow reports.
Perform bank reconciliation to ensure accuracy between company records and bank statements.
Maintain and update accounting records in accordance with applicable accounting standards.
Support monthly and annual closing processes.
Ensure financial data is complete, accurate, and well-documented.
Assist with audit and other accounting-related tasks as needed.
Minimum Qualifications
Bachelor’s degree in Accounting, Finance, or a related field.

Minimum 1 year of experience in accounting or a similar role.

Strong understanding of accounting principles and financial reporting.

Experience in preparing journal entries, financial statements, and bank reconciliation.

Proficient in Microsoft Excel and accounting software.

Detail-oriented with strong organizational and accuracy skills.

Able to work independently and collaboratively within a team.",2026-01-13 03:36:23,Pooled,262696.0,
Account Executive Japanese Client,"Requirements
• Degree in Japanese Literature or a related field.
• Fluent in Japanese for meetings, emails, and client communication.
• Experience working with Japanese clients or Japanese companies in a B2B setting.
• Strong understanding of Japanese business culture.
• Ability to support various Japan focused business needs such as market research and competitor analysis.
• Good communication and project coordination skills.
• Attention to detail and ability to manage multiple tasks.

Job Description
• Manage B2B clients from Japan and handle daily communication.
• Provide support for Japan related business needs including research and analysis.
• Coordinate internal teams to deliver projects based on client requirements.
• Maintain strong relationships with Japanese clients and understand their expectations.
• Prepare reports and insights to help improve client outcomes.
• Monitor timelines and ensure all tasks related to Japanese accounts are completed.",2025-11-22 13:08:50,,261684.0,2026-01-21 02:38:01
Procurement Event Officer,"Job Description:
Conduct vendor sourcing and selection processes in accordance with event requirements and company policies.
Assess and manage event budgets, including cost estimation, budgeting, and expense control.
Negotiate pricing, terms, and contracts with vendors to achieve cost efficiency and quality standards.
Coordinate with internal teams (event, finance, and operations) to ensure procurement needs are aligned with event objectives.
Monitor vendor performance and ensure timely delivery of goods and services for events.
Prepare procurement documentation, including vendor comparisons, contracts, and reports.
Ensure procurement processes comply with company procedures and timelines.
Support on-site event operations related to vendor coordination when required.

Minimum Qualifications
Bachelor’s degree in any major (preferably Business, Management, or related fields).
Proven experience in procurement and/or event operations.
Prior experience working in events is required.
Strong skills in vendor selection, budget assessment, and cost analysis.
Good negotiation and communication skills.
Able to work under pressure and manage multiple vendors simultaneously.
Detail-oriented, well-organized, and able to meet tight deadlines.
Willing to work flexible hours, including weekends or during events if needed.",2026-01-22 03:13:28,,262981.0,
Content Creator,"Job Description
Create and edit short-form video content (TikTok, Reels, YouTube Shorts) from concept to publishing.
Write scripts, captions, and hooks that grab audience attention quickly.
Use data and insights to analyze content performance and improve future strategies.
Edit videos using CapCut, Canva, or similar mobile tools with strong visual quality.
Design simple supporting graphics for video content.
Be willing to appear on camera when needed to boost engagement.
Keep up with social media trends to maintain fresh and relevant content.
Willing to work on weekends or outside normal hours if needed (with prior arrangement).

Minimum Qualifications
Minimum 1 year of experience in social media, media, agency, or creative industries.
Proven experience in creating short-form videos (TikTok, Reels, YouTube Shorts) with strong engagement.
Excellent storytelling and copywriting skills (captions, scripts, headlines, hooks).
Strong visual sense and basic graphic design skills (Canva or similar tools).
Proficient in video editing using mobile apps (CapCut, Canva, or equivalent).
Good understanding of social media trends and algorithms.
Comfortable appearing on camera when needed.
Analytical mindset with the ability to track and improve content performance using insights.",2025-12-03 02:36:09,Pooled,261126.0,2026-01-28 03:44:50
Freelance Data Scanner,"- Scan and review digital and print media daily to collect relevant news content.
- Scan selected articles based on assigned criteria.
- Crop and adjust articles to ensure clarity, accuracy, and compliance with content standards before submission.
- Upload scanned materials to the designated web dashboard and ensure proper categorization.
- Maintain an organized workflow to meet daily targets and ensure timely delivery.
- Candidates based in around Palmerah or West Jakarta.
- No minimum educational background required; candidates from all academic levels are welcome.
- Must be willing and able to work early morning shifts starting at 4:00 AM.
- Open to applicants of all age groups who are responsible, reliable, and committed to accuracy in work",2026-02-20 03:59:00,,258544.0,2026-02-20 03:59:38
Account Executive VCBL,"1–3 years of experience as an Account Executive, preferably from Online Media/know basic programmatic
Experience in seek new prospective clients
Have good networking track with direct client/advertising agency is a plus
Have great communication, interpersonal & presentation skills
Understand the newest advertising industry, digital programmatic ads & digital media trends
Candidates with knowledge or experience in programmatic ads and programmatic sales are preferred.",2025-11-14 02:11:51,,,
Sales Group Head (VCBL),"Requirements
• Minimum 2 years in a supervisory or team lead role.
• Must have experience in programmatic advertising
• Must have experience ad networks
• Must have experience in digital media selling, and media publisher operations.
• Bachelor’s degree in Business, Marketing, or a related field.
• Minimum 4–5 years of experience in sales.
• Strong leadership, clear communication, and solid negotiation skills.
• Experience managing key clients and driving revenue growth.
• Proven ability to work with targets and make decisions quickly.
• Proficiency using digital workspace tools.
• Strong understanding of sales strategies, market trends, and customer management.
• Experience handling digital campaigns and working with brand teams, advertisers, or media planners.
• Candidates from media companies score higher because the workflow, KPIs, and ecosystem match this role.
• Experience in  agencies, general sales, retail, activation agency, event organizer, or non digital fields is not relevant.

Role Expectations
• Lead and guide the sales team.
• Maintain high value clients and grow accounts.
• Manage programmatic and direct deals.
• Build long term relationships with advertisers.
• Understand ad inventory, pricing, performance metrics, and monetization strategies.
• Drive revenue based on media products and ad placements.",2025-11-26 06:04:06,Pooled,,
Account Executive KOMPAS.com,"Job Description
Making long term relationship with client
Seeking & approaching new clients
Identifying and deciding client needs
Planning and doing strategic digital sales implementation based on brief from client
Always update about the growth of digital media technology
Closing sales to achieve revenue target
Minimum Qualifications
Minimum Bachelor Degree from any major
At least 2 years experience as sales executive from digital media and/or media online is a plus
Canvassing new clients
Proficient in English
Able to make and execute a sales marketing program
Excellent communication, negotiation, and presentation skill
Have good networking skill
Able to work under sales target",2025-11-17 06:42:33,,,
Account Executive Pasangiklan.com,"Job Description
Canvasing for SME clients & maintain existing clients
Making strategy to achieve revenue target
Doing coordination for client's ad & events
Reporting for client's campaign
Weekly reporting for sales pipeline & target
Minimum Qualifications
Bachelor's degree from any discipline
Minimum 1 year experience as sales/Account Executive
Networking and negotiation skills
Able to make and execute a sales/marketing program
Having the capability to build good networking
Ability to multitask and work efficiently and effectively to meet required deadlines",2025-11-17 06:43:29,Pooled,,
Account Executive Kompasiana,"Minimum Bachelor Degree from any major
At least 2 years experienced as sales executive from digital agency and/or broadcast company is a plus (acquiring new clients, not only maintaining)
Proficient in English
Able to make and execute a sales/marketing program
Excellent communication, negotiation, and presentation skill
Having the capability to build good networking",2025-11-21 12:16:28,,,
Data Reliability Admin,"Job Description
Monitor data ingestion from multiple sources to ensure completeness & accuracy
Identify and log data-related issues, escalating critical issues to relevant teams when
necessary
Use monitoring dashboards or tools to track system performance and data health
Collaborate with technical teams to report and assist in resolving system or data flow
interruptions
Ensure scheduled updates for content across all monitored media types are accurate
and on time
Work closely with Product, Data, and Media Intelligence teams to ensure data
requirements are met
Provide periodic reports on data reliability, completeness, and quality to stakeholders

Minimum Qualifications
Bachelor’s degree in Information Systems, Computer Science, Statistics, Communications, or a related field.
Basic skills in Python and SQL/query writing.
Strong interest in news and media, both mainstream and social media platforms.
Understanding of social media username concepts and user behavior.
Basic understanding of media monitoring and news trend analysis.
Detail-oriented, analytical, and comfortable handling large datasets.
Able to work independently or collaboratively in a fast-paced environment.
Experience in data collection and data cleaning; experience handling text-based data (news or social media) is a plus.
High attention to detail, strong problem-solving skills, and a strong willingness to be on standby when needed (mandatory).
Familiarity and knowledge of Api, Python, and data crawling/scraping are strong advantages.
Strong proficiency in Google Sheets, including formulas such as vlookup, regexmatch, and Remove Duplicates.",2025-11-21 12:22:18,Pooled,,
Video Creator (AI Production),"Requirements
•⁠  ⁠Min. Bachelor in Broadcasting, Film or Video Production
•⁠  ⁠Passionate in AI Gen Images, Video, Music/Voice production
•⁠  ⁠Expert in Adobe Editing Suite (Premiere, After Effect)
•⁠  ⁠Deep familiarity with color grading
•⁠  ⁠Able to work well under tight deadline
•⁠  ⁠Deep passion for video editing and willingness to learn new video editing technology.
•⁠  ⁠Strong interest and passion in cinema and internet videos

Job Description
•⁠  ⁠Produce video content using fully AI Generated
•⁠  ⁠Work collaboratively with Data Team, Product Team, Social Media Team to create a high quality content
•⁠  ⁠Analize content performance in each channel",2025-11-22 13:09:38,,,
iOS Engineer,"Minimum Qualifications
- Experience in iOS development 1-3 year.
- Skill in Swift 5.
- Skill in UIKit, ProgramaticUI, or SwiftUI.
- Skill in MVVM.
- Skill in GitLab.
- Skill in Alamofire and networking.
- Skill in UserDefaults, CoreData, and Combine.
- Skill in integrating third party SDK.
- Experience in payment gateway integration.
- Experience in StoreKit for in app purchases.
- Experience in Android development with Kotlin will be an advantage.
- Skill in debugging and troubleshooting.
- Skill in communication and teamwork.
- Ability to work with tight deadlines.
- Interest in learning new iOS updates.",2025-12-10 08:41:39,Pooled,,
Data Scanner,"Job Description
Scan and review digital and print media from home to collect relevant news content efficiently.
Upload scanned materials to the designated web dashboard and ensure proper categorization.
Crop and adjust articles for accuracy, clarity, and alignment with content standards before submission.
Maintain an organized workflow to ensure timely delivery of scanned and processed media.

Minimum Qualifications
No minimum educational background required; candidates from all academic levels are welcome.
Must be willing and able to work early morning shifts starting at 4:00 AM.
Open to applicants of all age groups who are responsible, reliable, and committed to accuracy in work",2025-12-01 02:16:19,,,
Product Designer,"Job Description
Gather and evaluate user requirements in collaboration with product managers and engineers
Illustrate design ideas using storyboards, process flows and sitemaps
Design graphic user interface elements, like menus, tabs, widgets, etc
Develop UI mockups and prototypes that clearly illustrate how the visual, interactions, and paths look like
Create original graphic designs (e.g. images, sketches and tables)
Prepare and present drafts to internal teams and key stakeholders
Identify and troubleshoot UX problems (e.g. responsiveness)
Conduct usability testing and product/feature adjustments based on user feedback
Minimum Qualifications
1-2 years work experience as a Product/UX Designer or similar role
Knowledgeable in using genAI tools (e.g. chatGPT, midjourney, etc.) or video editing tools (e.g. canva, CapCut, Adoble After Effects) is a MUST
Mastery of human-centered design
Mastery of interaction design skills and attention to detail
Excellent with logical and data approach to communicate design details
Experience using Figma and design software like Adobe Illustrator and Photoshop
Experience developing dashboard-type products
Team spirit; strong communication skills to collaborate with various stakeholders
Good time-management skills
Basic in Design, Computer Science or relevant field
Have skill on creative & motion graphic is a plus value",2025-12-02 03:03:44,,,
Business Development Analyst,"Menyusun dan menerapkan strategi pengembangan bisnis yang sejalan dengan visi dan misi organisasi.
Melakukan assessment dan memberikan rekomendasi terhadap produk/layanan berjalan.
Menyusun proposal/studi kelayakan bisnis sesuai kebutuhan dan persyaratan bisnis terhadap inisiatif produk/layanan baru.
Melakukan analisis dan insight industri.
Minimum Qualifications
Minimal S1 Program Studi Teknik Industri, Business/Manajemen/Finance, terkait lainnya.
Pengalaman bekerja maksimal 4 tahun di posisi business development.
Mengerti proses bisnis media dan industri terkait media.
Mampu menjalankan riset pasar industri media dan pengembangan produk, serta mengolah data kuantitatif/kualitatif.
Mampu melakukan perhitungan finansial untuk kebutuhan pengembangan bisnis
Mampu berbahasa inggris aktif, lisan dan tulisan.",2025-12-12 03:02:32,,,
